,text
62,"Trumps call with @GregAbbott_TX probably went something like this..

Hey Greg, how much money do you think we can make off #harvey?"
63,"I'm read for #harvey Got food, water, money, back up electricity, Kayak is ready, guns locked and loaded #bringit #butnottoomuchpls"
64,#prayfortexas they are going to need money for #Harvey cleanup more than a stupid Wall. Trump is screwing them with threats of #shutdown
65,"Given how Republicans refused to vote for aid for other Hurricanes, we shouldn't give aid for #Harvey with tax money. Take from politicians."
66,I hope my professors understand I wont be able to buy my books now due to my family needing extra money to supply for Harvey #Harvey
67,"When #Harvey hits, let's see if TX reps who voted against aid for Hurricane Sandy ask for federal money."
68,according to #cnnmoney: with #harvey gasol. cost up 5-15 c/gln..39 platf+1Oilrig evacuated. price should go up thur. night around 5-10 c/gl.
69,What if #Harvey is just a ploy to make the water bottle and canned food companies a ton of money this weekend???
70,"We should all be raising money and gathering supplies for Texas now, because this administration is going to fuck it up. #Harvey"
71,"Maybe go ahead and start raising money for #Harvey now, @RedCross?"
72,Everybody in Houston calling the cable company to get their money back for the #McGregorMayweather fight #Harvey https://t.co/takbOlH7Gv
73,#Harvey got me out here throwing money at the cashiers like .. #HurricaneHarvey https://t.co/E1RfEGLhOE
74,I had to spend a bunch of money that I didn't expect to spend because of this god damn hurricane. #harvey
75,Wasting all this money for gas just bc frkn #Harvey 🙄
76,It shows @coldplay  and @NRGParkFan only care about money and not about the fans.    #ColdplayHouston #Harvey
77,"Hurricanes hit inland as well.  Please board up, get your supplies, first aid kits, water, gas your cars, get money  #Harvey"
78,"Prediction: Mainstream media will say Trump is ""presidential"" when he says he's sending money to help with #Harvey relief."
79,"Before reaching out to help fellow Texans in the path of #Harvey, please consider that giving money is by far the most practical donation."
80,"#Harvey
If you don't own a car or have no gas money how do you heed evacuation orders?
Does FEMA help WITH evacuations? #Katrina ??"
81,"#Harvey I hope everyone in Texas has gotten gas, money, supplies, first aid kit, boarded up and has enough water to last weeks.  Stay safe"
82,"#Trump Doesn't Have Property In Texas |..so he's not worried about Hurricane #Harvey. You see, if his money isn't i… https://t.co/Q5Tcn0idGV"
83,"@NRGParkFan @coldplay Please reschedule this show. I know there's money on the line, but people will be putting the… https://t.co/85T43j6PWw"
84,#Harvey now Texas can practice their secession drill . Let see how fast they ask for federal money . I say practice pay for it yourself
85,@MitchLandrieu Maybe if .@MitchLandrieu had spent money on drainage pumps instead of Confederate Statue removal… https://t.co/njXZVXmFoL
86,Whatever Houston. I guess thanks for saving me from spending money on unnecessary bottled water... #Harvey #HurricanePrep
87,"Send bills 4 #Harvey &amp; all other recent #disasters 2 @exxonmobil et al. They knew, but allowed #greed &amp; $money blin… https://t.co/zO5n4QSBcD"
