,text
52,Photo of #dog carrying bag of dog food after #Harvey goes viral 🐾❤️🐶❤️🐾 https://t.co/9uwXO1g9zd via @mysuncoast
53,Dog carrying bag of food after Hurricane Harvey becomes viral hero https://t.co/9NInvGproP via @houstonchron #Harvey
54,Photo of dog carrying bag of dog food after #Harvey goes viral | Local News | https://t.co/4HhZ46ogsm - https://t.co/OKwpdiwJW4
55,Good boy grabbing his food (and he found his family too!) #HurricaneHarvey #Harvey #NationalDogDay https://t.co/JAj5dzkTGc
56,Dog forced to evacuate and takes whole bag of dog food 🍲🐶 #Harvey #HurricaneHarvery @GregAbbott_TX https://t.co/H5SnZv9Q0T
57,Beautiful #Sunday in Samoa. #TYL 💖👑☝ Thinking of #Harvey. Watching a food show. They're in Shanghai! OMG. #EatStreet #Yum
58,The aftermath of a hurricane 😔 People need help &amp; food.  #Harvey #HurricaneHarvery #Harvey2017 #prayfortexas https://t.co/tcTePMlCCK
59,"#Harvey food.  10 bean, ham hocks, cornbread.  My house smells awesome. https://t.co/YofKotn3b1"
60,"If #harvey comes to Nola, we're set on food/alcohol for 3-4 months. May have to barter #jambalaya for water #nola… https://t.co/5525D72weQ"
61,"#lostdog Sinton TX #Harvey Have food, will find a kind human https://t.co/jcyx9TbyCK"
62,"FEMA hard at work in regional office coordinating sending supplies like food, water, generators, cots &amp; more down t… https://t.co/pg6Nz3rx7m"
63,Photo of dog carrying bag of dog food after #Harvey goes viral » https://t.co/t1QQPVxHR6 https://t.co/yvnBegXCPT
64,"Growing crisis at Rockport shelter: lacking cots, bedding, food, power. Only have enough water to last the day.… https://t.co/FiWarwdUtW"
65,Why do I keep seeing baskets full of perishable food on my TL?? That's not how this works #Harvey
66,@JohnCornyn @tedcruz Texas dogs are self sufficient. He's got his #Harvey supply of food &amp; is headed for Hill Count… https://t.co/triXNBc41l
67,Dog carrying his dog food after the storm. #NationalDogDay #Harvey https://t.co/M2XUwbZe4K
68,"""This dog is walking around Sinton TX carrying a entire bag of dog food with him"" #harvey #NationalDogDay… https://t.co/NGCN7y1Sdx"
69,"Handing out food boxes after #Harvey, ""Suddenly I saw her face freeze up as she was confronted w/ sandwiches named “Padrino” and “Pomodoro”"""
70,Just want to say thanks to @SPDTX  &amp; Guad. County for hospitality. They offered us food while covering #Harvey. https://t.co/oPeF8YjBCp
71,"Totally appropriate storm food... 
#harvey #waitingoutthestorm  #molassesspicecookie… https://t.co/TF54bOd3ti"
72,We've transferred our stir craziness to a restaurant. We're bored and tired of junk food. #harvey https://t.co/sm3IdLjN4O
73,Had people come up to me giving out food to us because they lost  their lights to their business and it's got flooded badly #Harvey praying
74,"If anyone can help, consider volunteering at SA food bank #harvey https://t.co/wH67VaQB6y"
75,Another Lost Dog This one brought his dog food #Harvey https://t.co/zLWBHybfR7
76,More #Harvey damage: You're looking at the patio awnings at Landry's Seafood at the Corpus Christi Marina https://t.co/8JXOUpkpom
77,Mmmmm #brisket #tacos from @PinkertonsBBQ leftovers #hurricanefood #HurricaneHarvey #Houwx #houbbq #Harvey #txwx… https://t.co/roCYcwZgJd
