,text
59,"Hey @abc15 @CBS5AZ @azfamily anyone know how we can directly donate clothes,supplies,toys,etc to those impacted by #Harvey ? #houston"
60,Is there anyway we can donate clothes to the victims of #Harvey
61,"Call GRB Harris County, LoneStarConvCtr Conroe Montgomery County they are in  desperate need of volunteers food bedding &amp; clothes. #Harvey"
62,Where can I donate clothes for the ones affected by #harvey ?
63,#Harvey evacuee on #MSNBC: I'm in a city where I don't know anyone. I have no car. I have no money. I have the clothes I'm wearing &amp; my dog.
64,"They need blankets and towels at the GRB, NOT clothes. #Harvey #HarveyRelief https://t.co/45CUJmwLX4"
65,@Chicos Houston needs donations of plus size clothes #Harvey
66,@lanebryant Houston needs donations of plus size clothes #Harvey
67,"Kempner HS will be a shelter at 11am. Baby clothes, crates, toys, pillows &amp; blankets are needed. 14777 Voss Rd. #sugarland #houston #harvey"
68,"To assist #Harvey evacuees, please donate toiletries, diapers &amp; clothes to @CarringtonEdu's Mesquite campus near Da… https://t.co/n7UwOAe2rV"
69,"When donating items: blankets and towels are needed more than clothes - easier to put to immediate use. Cash is best.
#harvey"
70,"Small businesses in HTX are  coming together to collect donations from anyone, anywhere. 

Baby food, soap, clothes… https://t.co/TeKsdJD1sw"
71,"HTX! If able, go through your clothes to donate. I didn't think I had anything, but today I went through my tshirts and sweats. #Harvey"
72,"You're probably eager to help #Harvey victims. But experts say donate cash, not blankets and clothes https://t.co/Ebm6DJsQPS"
73,Anyone know where I can send a whole bunch of baby clothes and shoes to help? #Harvey
74,"""We have comforters and clothes for the larger people, everybody is not cute and small."" #Harvey #HoustonFlood… https://t.co/ppU9cIh9kw"
75,"We're collecting items for those after by #Harvey. Nonperishables, unused/new clothes, school supplies, diapers. Drop off at the gym!"
76,DONATE IF YAL CAN THERE ARE 9000+ ppl at this center right now that need clothes as well!!! #Harvey https://t.co/uypPVIIELS
77,I'd like to divide that rescuer from his clothes....#Harvey https://t.co/PgNLXZBkZh
78,"@chrisbrown we have families that need a hotel to stay at warm food and clothes, let us know if you can help. #helpforhouston #Harvey"
79,"Before you go to school you got clothes,shoes,backpack,supply's and of course fucking harvey which ruined everything #HoustonStrong #Harvey"
80,"If anyone knows of anybody who is in need of groceries, clothes, or money please send me the info #Harvey #HarveyRelief"
81,"Working #HoustonFloods night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene suppl… https://t.co/5I8ssGxTdY"
82,"I don't trust charities/foundations. Help #Harvey survivors directly. Offer a room, a ride, clean clothes, text messages..anything from you."
83,@KHOU @abc13houston #Harvey police in need of dry clothes !! https://t.co/rlFbBARASn
84,"Shelters in need of food, toys, diapers, formula, warm clothes, blankets, dog supplies, anything you think could help. #Harvey"
85,"RETWEET: 

Clothing donations we need a lot of LARGE and up size clothes... 

Please bring!!! the larger the better… https://t.co/9PpsrHAvCZ"
86,"Excellent job @superdupre and @FortBendISD on opening shelters and providing food, clothes and comfort to the commu… https://t.co/NsMes7P2ou"
87,i have a ton of baby clothes packed and ready to be shipped. #Harvey.
88,#HurricaneHarvey #Harvey #giveback #clothes
89,Just talked with someone in Missouri wondering how to donate clothes. Sent him this link. #HoustonStrong… https://t.co/wG9XtO6HrD
90,#Harvey I think Evacuees need showers and clean clothes to get that contaminated water off of them to avoid health risks.
91,"If you're local &amp; want to bring clothes, cases of water or non perishables for #Harvey stop by Kiki LaRue 304 N. Oak St Roanoke, TX 76262!!"
92,"Houstonians!

If you're fortunate enough to be safe/dry at home, start gathering clothes to donate to shelters around the city!

#Harvey"
93,@mcuban how about a business council for #harvey? Food clothes drones supplies meds.  Where are our business leaders?
94,Sorting today @trustedworld donation drop site near Addison. This was us in a parking garage sorting clothes. Lines… https://t.co/hoRYWmVyFS
95,Volunteers at Fort Bend #Marshall high school set up donated clothes. The school is being temporary shelter for tho… https://t.co/cfco6MQxjd
96,Mountains of donated clothes and supplies show the Incredible generosity of Houstonians to those displaced by… https://t.co/mldbEvwd5t
97,View&gt;Maybe one simple insurance industry #Harvey relief project could be helping schoolkids get backpacks and back-to-school clothes.
98,"@abc13houston where can we send items of need for ppl affected by #Harvey? Like toiletries, clothes, towels, etc?"
99,Y'all need clothes we got y'all .💯 #Harvey
100,"When school starts there bet not be any mess abt ppl's clothes, hair etc. bc you have NO IDEA wht they lost during this storm #Harvey 💯"
101,"Many ways to help those impacted by #Harvey
Besides Red Cross, you can donate clothes+food to these local organizat… https://t.co/acbmiovrNL"
102,@RedCross I'm from Minneapolis. I've got a closet full of clothes I don't wear/need anymore. How and where can I donate to help?? #Harvey
103,Pray for Texas! Then go clean out your closet. These people need clothes.Toiletries.Linens. EVERYTHING! Be the rainbow!#Harvey #TexasStrong
104,"#Harvey Survivors, need $ for hotels, food, water, medicine and clothes? Future Shelter ? 1-800-621-FEMA &amp; https://t.co/9i0K4hrpCA."
105,"Where can we send clothes, toiletries, blankets, etc...to those affected by #HurricaneHarvey ??? #harvey"
106,"Those unaffected by #Harvey in the area, please remember to limit water use! No showers. Don't wash clothes/dishes."
107,@HITEXECUTIVE perhaps @ivankatrump could donate proceeds from the sales of her clothes to #Harvey victims if they a… https://t.co/d8FiLLqcKx
108,Yeah they really care alright.. despicable on every level. What's Melanie scared she'll get her designer clothes we… https://t.co/Ke4NpVNmxY
109,Just donated all of my baby's clothes that no longer fit (over 50 outfits) and a bunch of similac formula to a nearby shelter! #Harvey
110,I'm in Florida &amp; just gathered tons of clothes to send to effected area #Harvey If I drop off at @GoodwillIntl will they get there ??
111,Bringing clothes &amp; blankets to Paul Revere Middle. @SBISD let me know if/how I can help our families in need! #PrayForHouston #Harvey
112,"When school starts there bet not be any mess abt ppl's clothes, hair etc. bc you have NO IDEA wht they lost during this storm #Harvey 💯"
113,"texas needs diapers, clothes, places to stay, and more. i'll be donating blood on saturday. #harvey https://t.co/gscP0qMJQl"
114,5 more inches of rain. If you haven't been evacuated make bathing quick &amp; eliminate  running dish &amp; clothes washing… https://t.co/YIdWbqPnq0
115,"If you're in Texas, most communities have set up a donation center for victims of #Harvey. Pls find yours &amp; donate - clothes, diapers, food."
116,"Helping Houston.... Drop food &amp; clothes to my house if you live in Dekalb County

https://t.co/84Zdf82aiS… https://t.co/23ww7QCIdF"
