text
RT @TexasTribune: Gov. Greg Abbott and FEMA are using #HurricaneHarvey to reinvent disaster response. Some say doing that is leaving displaâ€_
I know @JJWatt is am amazing man and I live in and Houston and no I don't hear about the money from Harvey but thatâ€_ https://t.co/iK0eAEuYPo
RT @CockrellSchool: Could tilting roadways have helped prevent the floods of #HurricaneHarvey? This team of #TexasEngineers is working to iâ€_
"RT @AJCGlobal: Last year, Houstonâ€™s Congregation @bethyeshurun was flooded by  #HurricaneHarvey. Today, in a moving gesture, @azembassyus pâ€_"
RT @djriddler: Shout out to the man who created the hoUSton logo that went viral during #HurricaneHarvey @stevenbwallace @kintigo #HandInHaâ€_
Gov. Greg Abbott and FEMA are using #HurricaneHarvey to reinvent disaster response. Some say doing that is leavingâ€_ https://t.co/8189QB5yP6
"RT @HoustonChron: Three feet of filthy bayou water rushed our house during #HurricaneHarvey, and we are still wringing ourselves out.httpâ€_"
RT @brandonformby: .@GregAbbott_TX &amp; FEMA are using #HurricaneHarvey to reinvent disaster response. But reinventing the wheel has left thouâ€_
"RT @brandonformby: Six months after #HurricaneHarvey more than 8,000 Texans remain in hotel rooms. About 5,000 families are getting basic eâ€_"
"Your Back"" #Harvey #HurricaneHarvey"
"â€œThis was a bad experience for people of color and people who rent."" An astute conclusion from @HSPAatUH &amp;â€_ https://t.co/3jdFTwowR7"
RT @APCentralRegion: Texas unveils online tool for tracking #HurricaneHarvey funding two months after @AP reported the state didn't have onâ€_
RT @TexasTribune: 1/ THREAD: Greg Abbott and FEMA are using #HurricaneHarvey to reinvent disaster response. Does that make displaced Texansâ€_
A long shot: Iâ€™m exploring paper options for my #CreativeWriting course at @UWMadison. Iâ€™m wondering if @JJWatt wouâ€_ https://t.co/3kZLD2yJLF
RT @Patterson4TX: .@georgepbush has failed in two important areas: protecting the #Alamo and responding to #HurricaneHarvey. Enough is enouâ€_
.@GregAbbott_TX &amp; FEMA are using #HurricaneHarvey to reinvent disaster response. But reinventing the wheel has leftâ€_ https://t.co/tcbuWic08F
RT @GCAC_Links: The devastating effects of #HurricaneHarvey remain 6 months after landfall. #GCACLinks &amp; family  w/@HoustonISD &amp; @HouUrbanLâ€_
"RT @PawsintheCity: Lainey was rescued from #HurricaneHarvey, but she is still waiting for a furever family! Apply to adopt @ https://t.co/Yâ€_"
Just a friendly reminder that ALL PROCEEDS from our hilarious and gory anthology of #ZOMBIES will go to theâ€_ https://t.co/FDsfH5SnHC
"Six months after #HurricaneHarvey, many people are still living in hotels while working to rebuild their properties https://t.co/OYbVtctcZk"
The latest The The-Lone-Star-Beacon Daily! https://t.co/UqDSrx7jiH #nfl #hurricaneharvey
"""What about anyone else who needs a place to stay? What will we do for them?"" | After Hurricane Harvey, I lost my jâ€_ https://t.co/4hIV7hkyHZ"
@Chase yall cant be serious about that after my loss in #HurricaneHarvey its okay tho go ahead but thats lame af anâ€_ https://t.co/D0gDzx8QRN
"RT @KUT: Itâ€™s been six months since #HurricaneHarvey slammed into the Texas coast. Houston Mayor @SylvesterTurner and Marvin Odum, former Câ€_"
"@SavetheChildren estimates about 1,400 childcare facilities were damaged during #HurricaneHarvey. Thatâ€™s affected aâ€_ https://t.co/GN6nQkC4v5"
